Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1943,7,1.147,,0.677,-0.063,-0.027,-0.731,,,,1.408,,,0.63,6.01,-1.048,0
1943,8,1.208,,0.708,-0.027,0.01,-0.688,,,,1.396,,,0.62,5.96,-1.048,0
1943,9,1.177,,0.665,-0.079,-0.042,-0.752,,,,1.417,,,0.53,5.98,-1.139,0
1943,10,1.116,,0.717,-0.018,0.01,-0.697,,,,1.414,,,0.59,5.97,-1.078,0
1943,11,1.177,,0.677,-0.088,-0.036,-0.749,,,,1.426,,,0.48,6.02,-1.109,7
1943,12,1.116,,0.531,-0.234,-0.195,-0.92,,,,1.451,,,0.43,5.88,-1.658,0
1944,1,0.994,,0.552,-0.204,-0.158,-0.871,,,,1.423,,,0.48,5.8,-1.292,0
1944,2,1.36,,0.58,-0.201,-0.158,-0.899,,,,1.478,,,0.52,5.99,-1.261,0
1944,3,1.208,,0.549,-0.188,-0.158,-0.862,,,,1.411,,,0.46,5.88,-1.261,0
1944,4,1.025,,0.619,-0.121,-0.079,-0.777,,,,1.396,,,0.44,5.84,-1.17,0
1944,5,1.025,,0.598,-0.121,-0.085,-0.764,,,,1.362,,,0.47,5.89,-1.017,0
1944,6,1.177,,0.699,-0.039,0.01,-0.679,,,,1.378,,,0.56,5.99,-1.017,0
1944,7,0.994,,0.695,-0.042,-0.006,-0.704,,,,1.399,,,0.54,5.9,-0.926,0
1944,8,1.116,,0.683,-0.06,-0.027,-0.737,,,,1.42,,,0.56,5.9,-0.957,0
1944,9,2.579,,0.72,-0.06,-0.018,-0.752,,,,1.472,,,0.61,5.95,-1.17,0
1944,10,1.208,,0.714,-0.073,-0.024,-0.761,,,,1.475,,,0.49,5.95,-1.231,0
1944,11,1.726,,0.76,-0.002,0.049,-0.658,,,,1.417,,,0.57,6.1,-1.231,0
1944,12,1.421,,0.558,-0.188,-0.14,-0.841,,,,1.399,,,0.59,5.86,-1.536,0
1945,1,1.086,,0.528,-0.201,-0.152,-0.835,,,,1.362,,,0.54,5.86,-1.475,0
1945,2,1.147,,0.555,-0.182,-0.137,-0.829,,,,1.384,,,0.6,5.99,-1.231,0
1945,3,1.116,,0.628,-0.106,-0.063,-0.755,,,,1.384,,,0.62,5.93,-1.17,0
1945,4,1.116,,0.631,-0.097,-0.06,-0.755,,,,1.387,,,0.54,6.11,-1.17,0
1945,5,1.451,,0.72,-0.002,0.025,-0.667,,,,1.387,,,0.59,5.91,-1.719,0
1945,6,1.086,,0.711,-0.039,0.019,-0.67,,,,1.381,,,0.57,5.91,-1.017,0
1945,7,1.025,,0.726,-0.021,0.025,-0.676,,,,1.402,,,0.54,5.86,-0.865,0
1945,8,1.025,,0.683,-0.06,-0.024,-0.731,,,,1.414,,,0.53,6.03,-1.048,0
1945,9,1.147,,0.689,-0.054,-0.012,-0.71,,,,1.399,,,0.51,5.9,-1.231,0
1945,10,1.269,,0.717,-0.024,0.013,-0.694,,,,1.411,,,0.58,6.05,-1.231,0
1945,11,1.695,,0.714,-0.009,0.031,-0.652,,,,1.366,,,0.6,6.14,-1.231,0
1945,12,1.238,,0.695,-0.018,0.025,-0.646,,,,1.341,,,0.66,5.96,-1.17,0
1946,1,1.086,,0.58,-0.121,-0.091,-0.758,,,,1.338,,,0.56,5.99,-1.322,0
1946,2,1.055,,0.555,-0.155,-0.127,-0.813,,,,1.369,,,0.47,6.16,-1.444,0
1946,3,0.933,,0.616,-0.1,-0.063,-0.743,,,,1.359,,,0.54,5.93,-1.109,0
1946,4,1.269,,0.668,-0.063,-0.024,-0.719,,,,1.387,,,0.54,5.87,-1.109,0
1946,5,1.269,,0.686,-0.063,-0.021,-0.728,,,,1.414,,,0.31,5.86,-1.17,0
1946,6,1.116,,0.692,-0.045,-0.006,-0.7,,,,1.393,,,0.55,5.8,-1.017,0
1946,7,1.025,,0.692,-0.039,0.001,-0.688,,,,1.381,,,0.55,5.94,-0.957,0
1946,8,1.025,,0.686,-0.024,0.007,-0.67,,,,1.356,,,0.53,5.97,-0.926,0
1946,9,0.994,,0.662,-0.045,-0.018,-0.7,,,,1.362,,,0.57,5.97,-0.957,0
1946,10,1.177,,0.662,-0.048,-0.006,-0.67,,,,1.332,,,0.58,5.98,-0.896,0
1946,11,1.299,,0.644,-0.063,-0.03,-0.7,,,,1.344,,,0.58,6.07,-1.048,0
1946,12,1.147,,0.567,-0.149,-0.103,-0.777,,,,1.344,,,0.49,6.06,-1.353,0
1947,1,1.116,,0.601,-0.131,-0.094,-0.789,,,,1.39,,,0.42,6.03,-1.566,0
1947,2,1.299,,0.586,-0.134,-0.1,-0.786,,,,1.372,,,0.49,6.09,-1.353,0
1947,3,1.573,,0.656,-0.067,-0.021,-0.697,,,,1.353,,,0.43,6.09,-1.139,0
1947,4,1.025,,0.619,-0.097,-0.057,-0.731,,,,1.35,,,0.5,6.01,-1.048,0
1947,5,1.086,,0.665,-0.045,-0.012,-0.688,,,,1.353,,,0.47,5.95,-1.078,0
1947,6,1.147,,,,,,,,,,,,,,-0.926,0
1956,9,1.147,,0.76,0.001,0.034,-0.691,,,,1.451,,,0.47,6,-1.017,0
1956,10,1.147,,0.729,-0.03,0.007,-0.719,,,,1.448,,,0.48,5.94,-1.078,0
1956,11,1.147,,0.738,-0.039,0.007,-0.722,,,,1.46,,,0.49,5.94,-1.261,0
1956,12,1.086,,0.668,-0.094,-0.042,-0.755,,,,1.423,,,0.51,5.85,-1.536,0
1957,1,1.086,,0.537,-0.204,-0.176,-0.886,,,,1.423,,,0.55,5.89,-1.322,0
1957,2,1.269,,0.598,-0.131,-0.106,-0.81,,,,1.408,,,0.54,5.9,-1.292,0
1957,3,1.208,,0.692,-0.054,-0.006,-0.707,,,,1.399,,,0.39,5.9,-1.078,0
1957,4,1.086,,0.595,-0.137,-0.115,-0.829,,,,1.423,,,0.41,5.91,-1.261,0
1957,5,1.055,,0.677,-0.07,-0.03,-0.734,,,,1.411,,,0.42,5.79,-0.957,0
1957,6,1.238,,0.72,-0.036,0.007,-0.71,,,,1.43,,,0.49,5.86,-0.926,0
1957,7,1.086,,0.741,-0.021,0.019,-0.704,,,,1.445,,,0.45,5.89,-1.017,0
1957,8,1.269,,0.72,-0.048,-0.012,-0.746,,,,1.466,,,0.49,5.84,-1.231,0
1957,9,1.238,,0.705,-0.045,-0.012,-0.728,,,,1.433,,,0.47,5.86,-1.078,0
1957,10,1.238,,0.708,-0.033,0.007,-0.694,,,,1.402,,,0.4,5.88,-1.17,0
1957,11,1.238,,0.677,-0.063,-0.036,-0.749,,,,1.426,,,0.39,5.9,-1.109,0
1957,12,1.086,,0.616,-0.115,-0.076,-0.768,,,,1.384,,,0.36,5.95,-1.139,0
1958,1,1.238,,0.705,-0.027,0.016,-0.673,,,,1.378,,,0.45,5.99,-1.17,0
1958,2,1.238,,0.671,-0.079,-0.045,-0.758,,,,1.43,,,0.46,5.61,-1.139,0
1958,3,1.269,,0.811,0.058,0.107,-0.6,,,,1.411,,,0.56,6,-1.17,0
1958,4,1.543,,0.784,0.022,0.071,-0.646,,,,1.43,,,0.46,5.96,-0.896,0
1958,5,1.208,,0.726,-0.054,0.001,-0.725,,,,1.451,,,0.46,5.88,-1.17,0
1958,6,1.116,,0.75,-0.015,0.028,-0.691,,,,1.442,,,0.58,5.86,-0.957,0
1958,7,1.025,,0.75,-0.015,0.022,-0.707,,,,1.457,,,0.63,5.9,-0.896,0
1958,8,1.208,,0.744,0.007,0.028,-0.685,,,,1.43,,,0.61,5.84,-0.926,0
1958,9,1.208,,0.753,0.019,0.037,-0.679,,,,1.433,,,0.57,5.89,-1.139,0
1958,10,1.177,,0.778,0.049,0.071,-0.636,,,,1.414,,,0.5,5.92,-1.231,0
1958,11,1.421,,0.747,-0.021,0.004,-0.74,,,,1.487,,,0.43,5.9,-1.597,0
1958,12,1.208,,0.644,-0.127,-0.082,-0.81,,,,1.454,,,0.46,5.84,-1.353,0
1959,1,0.964,,0.598,-0.161,-0.121,-0.838,,,,1.436,,,0.45,5.9,-1.779,0
1959,2,0.964,,0.546,-0.207,-0.185,-0.917,,,,1.463,,,0.31,5.84,-1.627,0
1959,3,1.269,,0.635,-0.121,-0.091,-0.816,,,,1.451,,,0.4,5.84,-1.322,0
1959,4,1.238,,0.695,-0.07,-0.03,-0.752,,,,1.448,,,0.39,5.8,-1.048,0
1959,5,1.147,,0.628,-0.124,-0.091,-0.807,,,,1.436,,,0.41,5.79,-1.139,0
1959,6,1.177,,0.717,-0.024,0.007,-0.707,,,,1.423,,,0.52,5.85,-0.987,0
1959,7,1.116,,0.665,-0.063,-0.036,-0.734,,,,1.399,,,0.4,5.89,-0.987,0
1959,8,0.994,,0.717,0.004,0.025,-0.67,,,,1.387,,,0.46,5.93,-0.957,0
1959,9,1.025,,0.714,-0.027,-0.006,-0.722,,,,1.436,,,0.45,5.85,-0.957,0
1959,10,1.177,,0.76,0.004,0.034,-0.691,,,,1.451,,,0.33,5.87,-1.078,0
1959,11,1.238,,0.695,-0.067,-0.039,-0.774,,,,1.469,,,0.38,5.91,-1.261,0
1959,12,1.39,,0.711,-0.051,-0.024,-0.758,,,,1.469,,,0.44,5.89,-1.2,0
1960,1,1.512,,0.695,-0.085,-0.045,-0.786,,,,1.481,,,0.67,5.89,-1.231,0
1960,2,1.543,,0.692,-0.045,-0.015,-0.722,,,,1.414,,,0.48,5.99,-1.231,0
1960,3,1.025,,0.699,-0.048,-0.012,-0.722,,,,1.42,,,0.49,5.83,-1.414,0
1960,4,1.086,,0.714,-0.006,0.019,-0.676,,,,1.39,,,0.58,6.32,-1.048,0
1960,5,1.208,,0.76,0.031,0.068,-0.624,,,,1.384,,,0.5,5.74,-0.957,0
1960,6,1.299,,0.787,0.016,0.074,-0.636,,,,1.423,,,0.63,5.99,-0.987,0
1960,7,1.36,,0.763,0.01,0.055,-0.655,,,,1.417,,,0.64,6.16,-1.017,0
1960,8,1.238,,0.775,0.01,0.055,-0.664,,,,1.439,,,0.39,5.9,-1.048,0
1960,9,2.244,,0.784,0.004,0.049,-0.688,,,,1.472,,,0.58,5.94,-0.987,0
1960,10,1.36,,0.787,0.01,0.055,-0.676,,,,1.463,,,0.51,6.12,-0.987,0
1960,11,1.208,,0.699,-0.06,-0.015,-0.728,,,,1.426,,,0.46,5.93,-1.078,0
1960,12,1.421,,0.644,-0.134,-0.085,-0.816,,,,1.46,,,0.5,5.94,-1.2,0
1961,1,1.421,,0.607,-0.143,-0.103,-0.81,,,,1.417,,,0.38,5.93,-1.231,0
1961,2,1.238,,0.674,-0.06,-0.021,-0.716,,,,1.39,,,0.45,5.74,-1.139,0
1961,3,1.177,,0.714,-0.002,0.01,-0.694,,,,1.408,,,0.42,5.91,-1.109,0
1961,4,1.238,,0.778,0.037,0.071,-0.636,,,,1.414,,,0.41,5.83,-0.987,0
1961,5,1.025,,0.72,-0.03,0.007,-0.71,,,,1.43,,,0.58,5.97,-1.048,0
1961,6,1.116,,0.714,-0.015,0.001,-0.713,,,,1.426,,,0.69,5.98,-1.017,0
1961,7,1.208,,0.769,-0.018,0.025,-0.722,,,,1.49,,,0.49,5.89,-1.017,0
1961,8,1.147,,0.708,-0.048,-0.024,-0.752,,,,1.46,,,0.48,5.84,-1.078,0
1961,9,1.299,,0.723,-0.024,0.022,-0.679,,,,1.402,,,0.52,5.92,-0.926,0
1961,10,1.329,,0.747,0.004,0.055,-0.633,,,,1.381,,,0.57,5.91,-0.896,0
1961,11,1.116,,0.683,-0.054,-0.012,-0.707,,,,1.39,,,0.43,5.83,-1.17,0
1961,12,1.238,,0.625,-0.103,-0.063,-0.752,,,,1.378,,,0.53,5.85,-1.231,0
1962,2,1.208,,0.659,-0.097,-0.057,-0.774,,,,1.433,,,0.5,5.81,-1.17,0
1962,3,1.604,,0.732,-0.015,0.034,-0.664,,,,1.396,,,0.27,6.09,-1.17,0
1962,4,1.147,,0.665,-0.094,-0.06,-0.783,,,,1.448,,,0.38,5.86,-1.261,0
1962,5,1.208,,0.717,-0.051,-0.018,-0.749,,,,1.466,,,0.4,5.81,-1.017,0
1962,6,1.055,,0.717,-0.03,0.007,-0.707,,,,1.423,,,0.64,5.91,-1.048,0
1962,7,1.055,,0.738,-0.006,0.031,-0.676,,,,1.414,,,0.72,6.03,-0.896,0
1962,8,1.147,,0.729,-0.015,0.016,-0.697,,,,1.426,,,0.41,5.86,-1.048,0
1962,9,1.177,,0.695,-0.045,-0.012,-0.719,,,,1.414,,,0.34,5.86,-1.139,0
1962,10,1.269,,0.735,0.007,0.037,-0.664,,,,1.399,,,0.39,5.8,-1.109,0
1962,11,1.269,,0.702,-0.006,0.016,-0.67,,,,1.372,,,0.39,5.9,-1.017,0
1962,12,1.604,,0.662,-0.076,-0.045,-0.752,,,,1.414,,,0.32,5.7,-1.505,0
1963,1,1.36,,0.653,-0.134,-0.076,-0.801,,,,1.454,,,0.46,5.75,-1.444,0
1963,2,0.964,,0.543,-0.21,-0.173,-0.893,,,,1.436,,,0.4,6.05,-1.383,0
1963,3,1.269,,0.65,-0.1,-0.057,-0.768,,,,1.417,,,0.5,5.95,-1.139,0
1963,4,1.177,,0.65,-0.082,-0.042,-0.734,,,,1.384,,,0.58,5.97,-1.505,0
1963,5,1.086,,0.635,-0.091,-0.057,-0.752,,,,1.387,,,0.38,5.86,-1.261,0
